code,level,value,score,criterion_code,ability_code
E1,0,0.2,5.0,1,H1
E2,1,0.4,10.0,1,H1
E3,2,0.6,15.0,1,H1
E4,3,0.8,20.0,1,H1
E5,0,0.2,5.0,1,H1
E6,1,0.4,10.0,1,H1
E7,2,0.6,15.0,1,H1
E8,3,0.8,20.0,1,H1
E9,0,0.2,5.0,2,H1
E10,1,0.4,10.0,2,H1
E11,2,0.6,15.0,2,H1
E12,3,0.8,20.0,2,H1
E13,0,0.2,5.0,2,H1
E14,1,0.4,10.0,2,H1
E15,2,0.6,15.0,2,H1
E16,3,0.8,20.0,2,H1
E17,0,0.2,5.0,3,H1
E18,1,0.4,10.0,3,H1
E19,2,0.6,15.0,3,H1
E20,3,0.8,20.0,3,H1
E21,0,0.2,5.0,3,H1
E22,1,0.4,10.0,3,H1
E23,2,0.6,15.0,3,H1
E24,3,0.8,20.0,3,H1
E25,0,0.2,5.0,4,H1
E26,1,0.4,10.0,4,H1
E27,2,0.6,15.0,4,H1
E28,3,0.8,20.0,4,H1
E29,0,0.2,5.0,4,H1
E30,1,0.4,10.0,4,H1
E31,2,0.6,15.0,4,H1
E32,3,0.8,20.0,4,H1
E33,0,0.2,5.0,5,H2
E34,1,0.4,10.0,5,H2
E35,2,0.6,15.0,5,H2
E36,3,0.8,20.0,5,H2
E37,0,0.2,5.0,5,H2
E38,1,0.4,10.0,5,H2
E39,2,0.6,15.0,5,H2
E40,3,0.8,20.0,5,H2
E41,0,0.2,5.0,6,H2
E42,1,0.4,10.0,6,H2
E43,2,0.6,15.0,6,H2
E44,3,0.8,20.0,6,H2
E45,0,0.2,5.0,6,H2
E46,1,0.4,10.0,6,H2
E47,2,0.6,15.0,6,H2
E48,3,0.8,20.0,6,H2
E49,0,0.2,5.0,7,H2
E50,1,0.4,10.0,7,H2
E51,2,0.6,15.0,7,H2
E52,3,0.8,20.0,7,H2
E53,0,0.2,5.0,7,H2
E54,1,0.4,10.0,7,H2
E55,2,0.6,15.0,7,H2
E56,3,0.8,20.0,7,H2
E57,0,0.2,5.0,8,H2
E58,1,0.4,10.0,8,H2
E59,2,0.6,15.0,8,H2
E60,3,0.8,20.0,8,H2
E61,0,0.2,5.0,8,H2
E62,1,0.4,10.0,8,H2
E63,2,0.6,15.0,8,H2
E64,3,0.8,20.0,8,H2
E65,0,0.2,5.0,9,H3
E66,1,0.4,10.0,9,H3
E67,2,0.6,15.0,9,H3
E68,3,0.8,20.0,9,H3
E69,0,0.2,5.0,9,H3
E70,1,0.4,10.0,9,H3
E71,2,0.6,15.0,9,H3
E72,3,0.8,20.0,9,H3
E73,0,0.2,5.0,10,H3
E74,1,0.4,10.0,10,H3
E75,2,0.6,15.0,10,H3
E76,3,0.8,20.0,10,H3
E77,0,0.2,5.0,10,H3
E78,1,0.4,10.0,10,H3
E79,2,0.6,15.0,10,H3
E80,3,0.8,20.0,10,H3
E81,0,0.2,5.0,11,H3
E82,1,0.4,10.0,11,H3
E83,2,0.6,15.0,11,H3
E84,3,0.8,20.0,11,H3
E85,0,0.2,5.0,11,H3
E86,1,0.4,10.0,11,H3
E87,2,0.6,15.0,11,H3
E88,3,0.8,20.0,11,H3
E89,0,0.2,5.0,12,H3
E90,1,0.4,10.0,12,H3
E91,2,0.6,15.0,12,H3
E92,3,0.8,20.0,12,H3
E93,0,0.2,5.0,12,H3
E94,1,0.4,10.0,12,H3
E95,2,0.6,15.0,12,H3
E96,3,0.8,20.0,12,H3
E97,0,0.2,5.0,13,H4
E98,1,0.4,10.0,13,H4
E99,2,0.6,15.0,13,H4
E100,3,0.8,20.0,13,H4
E101,0,0.2,5.0,13,H4
E102,1,0.4,10.0,13,H4
E103,2,0.6,15.0,13,H4
E104,3,0.8,20.0,13,H4
E105,0,0.2,5.0,13,H4
E106,1,0.4,10.0,13,H4
E107,2,0.6,15.0,13,H4
E108,3,0.8,20.0,13,H4
E109,0,0.2,5.0,13,H4
E110,1,0.4,10.0,13,H4
E111,2,0.6,15.0,13,H4
E112,3,0.8,20.0,13,H4
E113,0,0.2,5.0,14,H4
E114,1,0.4,10.0,14,H4
E115,2,0.6,15.0,14,H4
E116,3,0.8,20.0,14,H4
E117,0,0.2,5.0,14,H4
E118,1,0.4,10.0,14,H4
E119,2,0.6,15.0,14,H4
E120,3,0.8,20.0,14,H4
E121,0,0.2,5.0,15,H4
E122,1,0.4,10.0,15,H4
E123,2,0.6,15.0,15,H4
E124,3,0.8,20.0,15,H4
E125,0,0.2,5.0,15,H4
E126,1,0.4,10.0,15,H4
E127,2,0.6,15.0,15,H4
E128,3,0.8,20.0,15,H4
E129,0,0.2,5.0,16,H4
E130,1,0.4,10.0,16,H4
E131,2,0.6,15.0,16,H4
E132,3,0.8,20.0,16,H4
E133,0,0.2,5.0,16,H4
E134,1,0.4,10.0,16,H4
E135,2,0.6,15.0,16,H4
E136,3,0.8,20.0,16,H4
E137,0,0.2,5.0,17,H5
E138,1,0.4,10.0,17,H5
E139,2,0.6,15.0,17,H5
E140,3,0.8,20.0,17,H5
E141,0,0.2,5.0,17,H5
E142,1,0.4,10.0,17,H5
E143,2,0.6,15.0,17,H5
E144,3,0.8,20.0,17,H5
E145,0,0.2,5.0,18,H5
E146,1,0.4,10.0,18,H5
E147,2,0.6,15.0,18,H5
E148,3,0.8,20.0,18,H5
E149,0,0.2,5.0,18,H5
E150,1,0.4,10.0,18,H5
E151,2,0.6,15.0,18,H5
E152,3,0.8,20.0,18,H5
E153,0,0.2,5.0,19,H5
E154,1,0.4,10.0,19,H5
E155,2,0.6,15.0,19,H5
E156,3,0.8,20.0,19,H5
E157,0,0.2,5.0,19,H5
E158,1,0.4,10.0,19,H5
E159,2,0.6,15.0,19,H5
E160,3,0.8,20.0,19,H5
E161,0,0.2,5.0,20,H5
E162,1,0.4,10.0,20,H5
E163,2,0.6,15.0,20,H5
E164,3,0.8,20.0,20,H5
E165,0,0.2,5.0,20,H5
E166,1,0.4,10.0,20,H5
E167,2,0.6,15.0,20,H5
E168,3,0.8,20.0,20,H5